Places,People,Dates
"Florence, Italy",Galileo Galilei; Alessandro Bocchineri; Geri Bocchineri; Niccolò Cini; Andrea Arrighetti; Mario Guiducci; Maria Tedaldi; Gabriello Riccardi; Luigi Capponi; Niccolò Aggiunti; Dino Peri; Andrea Cioli; Polissena Gatteschi Bocchineri; Piero Girolami; Pier Francesco Rinuccini; Raffaello Visconti; Girolamo da Sommaia; Giovanni Ronconi; Luca Degli Albizzi; Bernardo Conti,1633-01-04-1633-12-21
"Rome, Italy",Galileo Galilei; Benedetto Castelli; Francesco Niccolini; Cassiano dal Pozzo; Gio. Francesco Tolomei; Antonio Nardi; Vincenzo Langieri; Raffaello Magiotti; Carlo Rinuccini; Benedetto Millini; Filippo Magalotti; Orazio Cavalcanti; Giovanfrancesco Buonamici; Gian Giacomo Bouchard; Gio. Battista Doni; Caterina Riccardi Niccolini; Francesco Stelluti,1633-01-07-1633-12-28
"Acquapendente, Italy",Galileo Galilei,1633-01-27-1633-07-06
"Siena, Italy",Galileo Galilei; Ascanio Piccolomini; Antonio Quaratesi; Maria Celeste Galilei; Bernardo Conti; Vincenzo Renieri; Giovanni Vannuccini,1633-04-10-1633-12-28
"Arcetri, Italy",Galileo Galilei; Maria Celeste Galilei,1633-02-05-1633-12-28
undefined,,
"Venice, Italy",Antonio de Ville; Sebastiano Venier; Francesco Galilei,1633-01-04-1633-11-26
"Pisa, Italy",Andrea Cioli; Geri Bocchineri; Pietro Mazzei; Niccolò Aggiunti; Marcantonio Pieralli,1633-01-11-1633-12-28
"Leghorn, Italy",Giuliano de’ Medici; Alessandro Bocchineri; Geri Bocchineri,1633-01-19-1633-03-12
"Montalto, Italy",Giovanni Ciampoli,1633-04-05-1633-06-14
"Brussels, Belgium",Baldassarre Nardi,1633-04-19-1633-04-19
"Poppi, Italy","Vincenzo Galilei, Jr.",1633-05-02-1633-09-28
"Brescia, Italy",Benedetto Castelli,1633-05-12-1633-06-16
"Poggibonsi, Italy",Niccolò Cini,1633-05-21-1633-05-28
"Naples, Italy",Gio. Camillo Gloriosi,1633-06-10-1633-06-10
"Lucca, Italy",Francesco Maria Fiorentini,1633-07-12-1633-12-21
"Strasburg, France",Matthias Bernegger,1633-10-10-1633-10-10
"Bologna, Italy",Bonaventura Calvalcanti,1633-12-17-1633-12-17
"San Casciano, Italy",Giulio Ninci,1633-12-18-1633-12-18
